127.0.0.1 - - [03/Jan/2020:09:36:58 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:36:59 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 1997
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:37:39 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 2027
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:38:06 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 2057
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:38:25 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:39:07 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 2136
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:39:08 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:39:08 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:39:14 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 2107
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:39:24 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:39:25 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:39:26 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:39:26 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:39:26 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:39:26 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:39:34 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 2102
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:40:04 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 2104
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:40:05 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:40:05 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:40:16 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:40:16 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
