127.0.0.1 - - [10/Jan/2020:09:22:55 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:22:56 +0900] "GET /clientweb/js_dom/function_expression_exam.html HTTP/1.1" 200 1107
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:24:00 +0900] "GET /clientweb/js_dom/function_expression_exam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:27:59 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 1451
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:27:59 +0900] "GET /clientweb/images/m_garden07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:28:00 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:33:33 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 1607
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:33:33 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:33:33 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:33:54 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 1626
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:33:54 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:33:54 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:40:29 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 1878
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:40:29 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:40:29 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:44:06 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:44:06 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:44:06 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:49:21 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2055
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:51:04 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:07:18 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2163
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:07:18 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:07:18 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:07:19 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:07:19 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:09:53 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2306
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:09:53 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:09:54 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:11:05 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2295
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:11:05 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:11:05 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:16:03 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:16:04 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:17:48 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2326
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:17:48 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:17:48 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:18:08 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2337
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:18:09 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
